Gripper,Object,Close Gripper Force,Shake Gripper Amplitude,Force Move XYZ,Success_Count,,object_dim,,,
geltip_gripper,potted_meat_can,60,0.3,"[0.0, 0.0, 0.149]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,60,0.3,"[0.0, 0.0, 0.152]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,60,0.5,"[0.0, 0.0, 0.149]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,60,0.5,"[0.0, 0.0, 0.152]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,70,0.1,"[0.0, 0.0, 0.149]",10,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,70,0.1,"[0.0, 0.0, 0.152]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,70,0.3,"[0.0, 0.0, 0.149]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,70,0.3,"[0.0, 0.0, 0.152]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,70,0.5,"[0.0, 0.0, 0.149]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,70,0.5,"[0.0, 0.0, 0.152]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,80,0.1,"[0.0, 0.0, 0.149]",10,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,80,0.1,"[0.0, 0.0, 0.152]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,80,0.3,"[0.0, 0.0, 0.149]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,80,0.3,"[0.0, 0.0, 0.152]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,80,0.5,"[0.0, 0.0, 0.149]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,potted_meat_can,80,0.5,"[0.0, 0.0, 0.152]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
geltip_gripper,mug,30,0.1,"[0.0, 0.0, 0.149]",10,,"(0.15093499999999999, 0.146784, 0.243716)",,,
geltip_gripper,mug,30,0.1,"[0.0, 0.0, 0.152]",10,,"(0.15093499999999999, 0.146784, 0.243716)",,,
geltip_gripper,mug,30,0.3,"[0.0, 0.0, 0.149]",10,,"(0.15093499999999999, 0.146784, 0.243716)",,,
geltip_gripper,mug,30,0.3,"[0.0, 0.0, 0.152]",10,,"(0.15093499999999999, 0.146784, 0.243716)",,,
