Gripper,Object,Close Gripper Force,Shake Gripper Amplitude,Force Move XYZ,Success_Count,dim_x,dim_y,dim_z
flatgelsight_gripper,potted_meat_can,40,0.3,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.5,"[-0.01, 0, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.5,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.1,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.1,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.3,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.3,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.5,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.5,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.1,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.1,"[-0.01, 0, 0.13]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.3,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.3,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.5,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.5,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.1,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.1,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.3,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.3,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.5,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.5,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.1,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.1,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.3,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.3,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.5,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.5,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.1,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.1,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.3,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.3,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,mug,40,0.1,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,40,0.1,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,40,0.3,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,40,0.3,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,40,0.5,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,40,0.5,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,50,0.1,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,50,0.1,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,50,0.3,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,50,0.3,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,50,0.5,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,50,0.5,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,60,0.1,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,60,0.1,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,60,0.3,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,60,0.3,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,60,0.5,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,60,0.5,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,bowl,40,0.1,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.1,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.3,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.3,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.5,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.5,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.1,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.1,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.3,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.3,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.5,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.5,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,50,0.1,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,50,0.1,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,50,0.3,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,50,0.3,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,50,0.5,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,50,0.5,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,60,0.1,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,60,0.1,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,60,0.3,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,60,0.3,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,60,0.5,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,60,0.5,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,mustard_bottle,40,0.1,"[-0.0, -0.01, 0.118]",9,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,40,0.1,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,40,0.3,"[-0.0, -0.01, 0.118]",10,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,40,0.3,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,40,0.5,"[-0.0, -0.01, 0.118]",0,0.098237,0.067215,0.192166
