Gripper,Object,Close Gripper Force,Shake Gripper Amplitude,Force Move XYZ,Success_Count,,object_dim,,,
tactip_gripper,potted_meat_can,30,0.3,"[0.005, 0.0, 0.13]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,30,0.5,"[0.0, 0.0, 0.128]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,30,0.5,"[0.005, 0.0, 0.13]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,40,0.1,"[0.0, 0.0, 0.128]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,40,0.1,"[0.005, 0.0, 0.13]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,40,0.3,"[0.0, 0.0, 0.128]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,40,0.3,"[0.005, 0.0, 0.13]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,40,0.5,"[0.0, 0.0, 0.128]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,40,0.5,"[0.005, 0.0, 0.13]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,50,0.1,"[0.0, 0.0, 0.128]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,50,0.1,"[0.005, 0.0, 0.13]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,50,0.3,"[0.0, 0.0, 0.128]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,50,0.3,"[0.005, 0.0, 0.13]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,50,0.5,"[0.0, 0.0, 0.128]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,50,0.5,"[0.005, 0.0, 0.13]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,60,0.1,"[0.0, 0.0, 0.128]",10,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,60,0.1,"[0.005, 0.0, 0.13]",10,,"(0.10283300000000001, 0.061125, 0.084137)",,,
tactip_gripper,potted_meat_can,60,0.3,"[0.0, 0.0, 0.128]",0,,"(0.10283300000000001, 0.061125, 0.084137)",,,
